VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-01-01 00:28:15,2020-01-01 00:33:03,1,1.20,1,N,238,239,1,6,3,0.5,1.47,0,0.3,11.27,2.5
1,2020-01-01 00:35:39,2020-01-01 00:43:04,1,1.20,1,N,239,238,1,7,3,0.5,1.5,0,0.3,12.3,2.5
1,2020-01-01 00:47:41,2020-01-01 00:53:52,1,.60,1,N,238,238,1,6,3,0.5,1,0,0.3,10.8,2.5
1,2020-01-01 00:55:23,2020-01-01 01:00:14,1,.80,1,N,238,151,1,5.5,0.5,0.5,1.36,0,0.3,8.16,0
2,2020-01-01 00:01:58,2020-01-01 00:04:16,1,.00,1,N,193,193,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,2020-01-01 00:09:44,2020-01-01 00:10:37,1,.03,1,N,7,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2020-01-01 00:39:25,2020-01-01 00:39:29,1,.00,1,N,193,193,1,2.5,0.5,0.5,0.01,0,0.3,3.81,0
2,2019-12-18 15:27:49,2019-12-18 15:28:59,1,.00,5,N,193,193,1,0.01,0,0,0,0,0.3,2.81,2.5
2,2019-12-18 15:30:35,2019-12-18 15:31:35,4,.00,1,N,193,193,1,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,2020-01-01 00:29:01,2020-01-01 00:40:28,2,.70,1,N,246,48,1,8,3,0.5,2.35,0,0.3,14.15,2.5
1,2020-01-01 00:55:11,2020-01-01 01:12:03,2,2.40,1,N,246,79,1,12,3,0.5,1.75,0,0.3,17.55,2.5
1,2020-01-01 00:37:15,2020-01-01 00:51:41,1,.80,1,N,163,161,2,9.5,3,0.5,0,0,0.3,13.3,2.5
1,2020-01-01 00:56:27,2020-01-01 01:21:44,1,3.30,1,N,161,144,1,17,3,0.5,4.15,0,0.3,24.95,2.5
2,2020-01-01 00:21:54,2020-01-01 00:27:31,1,1.07,1,N,43,239,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2020-01-01 00:38:01,2020-01-01 01:15:21,1,7.76,1,N,143,25,1,28.5,0.5,0.5,4.84,0,0.3,37.14,2.5
1,2020-01-01 00:15:35,2020-01-01 00:27:06,3,1.60,1,N,211,234,2,9,3,0.5,0,0,0.3,12.8,2.5
1,2020-01-01 00:41:20,2020-01-01 00:44:22,1,.50,1,Y,234,90,1,4,3,0.5,1,0,0.3,8.8,2.5
1,2020-01-01 00:56:38,2020-01-01 01:13:34,1,1.70,1,N,246,142,2,11.5,3,0.5,0,0,0.3,15.3,2.5
2,2020-01-01 00:08:21,2020-01-01 00:25:29,1,8.45,1,N,138,216,2,24.5,0.5,0.5,0,0,0.3,25.8,0
1,2020-01-01 00:25:39,2020-01-01 00:27:05,1,.00,1,N,170,162,4,3,3,0.5,0,0,0.3,6.8,2.5
